Start Date/Time,End Date/Time,Duration (secs)
27-Oct-2022 05:18:37,27-Oct-2022 05:25:07,390
27-Oct-2022 05:30:07,27-Oct-2022 06:12:37,2550
27-Oct-2022 06:15:37,27-Oct-2022 06:16:37,60
27-Oct-2022 06:20:07,27-Oct-2022 06:28:37,510
27-Oct-2022 22:26:03,27-Oct-2022 22:56:03,1800
27-Oct-2022 22:56:03,27-Oct-2022 23:16:03,1200
27-Oct-2022 23:16:03,27-Oct-2022 23:26:33,630
27-Oct-2022 23:26:33,27-Oct-2022 23:31:03,270
27-Oct-2022 23:31:03,27-Oct-2022 23:46:03,900
27-Oct-2022 23:46:03,28-Oct-2022 00:12:33,1590
28-Oct-2022 00:12:33,28-Oct-2022 00:33:33,1260
28-Oct-2022 00:33:33,28-Oct-2022 00:43:03,570
28-Oct-2022 00:43:03,28-Oct-2022 01:17:03,2040
28-Oct-2022 01:17:33,28-Oct-2022 01:32:03,870
28-Oct-2022 01:32:33,28-Oct-2022 01:45:33,780
28-Oct-2022 01:45:33,28-Oct-2022 01:46:33,60
28-Oct-2022 01:46:33,28-Oct-2022 01:49:03,150
28-Oct-2022 01:52:33,28-Oct-2022 02:36:33,2640
28-Oct-2022 02:36:33,28-Oct-2022 02:41:33,300
28-Oct-2022 02:41:33,28-Oct-2022 02:52:33,660
28-Oct-2022 02:52:33,28-Oct-2022 02:54:03,90
28-Oct-2022 02:54:33,28-Oct-2022 02:55:03,30
28-Oct-2022 02:55:03,28-Oct-2022 03:13:33,1110
28-Oct-2022 03:13:33,28-Oct-2022 03:14:03,30
28-Oct-2022 03:15:03,28-Oct-2022 04:03:03,2880
28-Oct-2022 04:05:33,28-Oct-2022 04:33:33,1680
28-Oct-2022 04:33:33,28-Oct-2022 04:54:03,1230
28-Oct-2022 04:54:03,28-Oct-2022 05:15:33,1290
28-Oct-2022 05:15:33,28-Oct-2022 05:16:33,60
28-Oct-2022 05:16:33,28-Oct-2022 06:00:33,2640
28-Oct-2022 06:01:03,28-Oct-2022 06:23:03,1320
28-Oct-2022 06:23:03,28-Oct-2022 06:24:03,60
28-Oct-2022 23:01:35,28-Oct-2022 23:27:35,1560
28-Oct-2022 23:27:35,28-Oct-2022 23:56:05,1710
28-Oct-2022 23:56:05,28-Oct-2022 23:57:05,60
28-Oct-2022 23:57:05,29-Oct-2022 00:04:05,420
29-Oct-2022 00:04:05,29-Oct-2022 00:04:35,30
29-Oct-2022 00:06:05,29-Oct-2022 00:18:05,720
29-Oct-2022 00:21:05,29-Oct-2022 00:54:05,1980
29-Oct-2022 00:54:05,29-Oct-2022 01:12:05,1080
29-Oct-2022 01:12:05,29-Oct-2022 01:25:05,780
29-Oct-2022 01:25:05,29-Oct-2022 01:40:05,900
29-Oct-2022 01:51:35,29-Oct-2022 01:57:05,330
29-Oct-2022 01:57:35,29-Oct-2022 03:02:35,3900
29-Oct-2022 03:02:35,29-Oct-2022 03:24:05,1290
29-Oct-2022 03:24:05,29-Oct-2022 03:25:35,90
29-Oct-2022 03:25:35,29-Oct-2022 03:31:35,360
29-Oct-2022 03:31:35,29-Oct-2022 04:49:05,4650
29-Oct-2022 04:49:05,29-Oct-2022 04:58:35,570
29-Oct-2022 04:58:35,29-Oct-2022 05:51:05,3150
29-Oct-2022 05:51:05,29-Oct-2022 06:16:35,1530
29-Oct-2022 06:16:35,29-Oct-2022 06:34:35,1080
29-Oct-2022 22:07:33,29-Oct-2022 22:27:03,1170
29-Oct-2022 22:27:03,29-Oct-2022 22:46:03,1140
29-Oct-2022 22:46:03,29-Oct-2022 22:51:33,330
29-Oct-2022 22:51:33,29-Oct-2022 22:57:33,360
29-Oct-2022 22:57:33,29-Oct-2022 23:01:33,240
29-Oct-2022 23:01:33,29-Oct-2022 23:10:33,540
29-Oct-2022 23:10:33,29-Oct-2022 23:13:03,150
29-Oct-2022 23:13:33,29-Oct-2022 23:17:33,240
29-Oct-2022 23:17:33,29-Oct-2022 23:23:33,360
29-Oct-2022 23:23:33,29-Oct-2022 23:32:33,540
29-Oct-2022 23:33:03,29-Oct-2022 23:54:33,1290
29-Oct-2022 23:54:33,30-Oct-2022 00:09:03,870
